2021-11-11_15-32-42-594446,6.808127025597731e-07,3.7608417649782204e-07,7.996478215963706,1.992932380526315,[0.000159568569, 8.75908038e-05, 6.55396626e-05, 4.85704395e-05, 7.99284069e-05],[9.65669677e-05, 5.6144047e-05, 4.8972177e-05, 4.80127438e-05, 5.86293035e-05],[-11.06697639  -8.72171297  -7.64565496  -6.53013293  -4.11147835],[-11.06697639  -8.72171297  -7.64565496  -6.53013293  -4.11147835],False
2021-11-12_18-56-21-037870,6.808127025597731e-07,3.7608417649782204e-07,7.996478215963706,1.992932380526315,[0.000159568569, 8.75908038e-05, 6.55396626e-05, 4.85704395e-05, 7.99284069e-05],[9.65669677e-05, 5.6144047e-05, 4.8972177e-05, 4.80127438e-05, 5.86293035e-05],[-11.06697639  -8.72171297  -7.64565496  -6.53013293  -4.11147835],[-11.06697639  -8.72171297  -7.64565496  -6.53013293  -4.11147835],False
2021-11-12_18-56-39-637338,nan,nan,nan,nan,[0.000159568569, 8.75908038e-05],[9.65669677e-05, 5.6144047e-05],[-11.06697639  -8.72171297],[-11.06697639  -8.72171297],False
2021-11-12_18-56-50-012909,6.808127025597731e-07,3.7608417649782204e-07,7.996478215963706,1.992932380526315,[0.000159568569, 8.75908038e-05, 6.55396626e-05, 4.85704395e-05, 7.99284069e-05],[9.65669677e-05, 5.6144047e-05, 4.8972177e-05, 4.80127438e-05, 5.86293035e-05],[-11.06697639  -8.72171297  -7.64565496  -6.53013293  -4.11147835],[-11.06697639  -8.72171297  -7.64565496  -6.53013293  -4.11147835],False
2021-11-13_02-40-47-671498,0,0,0,0,[1.59432680e-04 1.00491958e-04 6.02990287e-05 5.61532407e-05],0,[-10.28128079  -8.22502463  -6.16876847  -4.11251231],0,True
2021-11-13_02-41-03-314054,0,0,0,0,0,[8.37625011e-05 6.04034784e-05 5.15702969e-05 5.97754176e-05],0,[10.28128079  8.22502463  6.16876847  4.11251231],True
2021-11-13_02-41-03-315792,nan,nan,nan,nan,[1.59432680e-04 1.00491958e-04 6.02990287e-05 5.61532407e-05],[8.37625011e-05 6.04034784e-05 5.15702969e-05 5.97754176e-05],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],True
2021-11-13_02-42-20-316138,0,0,0,0,[1.59432680e-04 1.00491958e-04 6.02990287e-05 5.61532407e-05],0,[-10.28128079  -8.22502463  -6.16876847  -4.11251231],0,True
2021-11-13_02-42-35-816326,0,0,0,0,0,[8.37625011e-05 6.04034784e-05 5.15702969e-05 5.97754176e-05],0,[10.28128079  8.22502463  6.16876847  4.11251231],True
2021-11-13_02-42-35-817665,nan,nan,nan,nan,[1.59432680e-04 1.00491958e-04 6.02990287e-05 5.61532407e-05],[8.37625011e-05 6.04034784e-05 5.15702969e-05 5.97754176e-05],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],True
2021-11-13_02-44-05-981610,0,0,0,0,[1.58208917e-04 1.02379409e-04 6.08135424e-05 5.88674129e-05],0,[-10.28128079  -8.22502463  -6.16876847  -4.11251231],0,True
2021-11-13_02-44-21-474270,0,0,0,0,0,[8.77548608e-05 5.93699786e-05 5.05485789e-05 5.82540964e-05],0,[10.28128079  8.22502463  6.16876847  4.11251231],True
2021-11-13_02-44-21-475497,5.761099893054402e-07,3.792599516262443e-07,4.162439029587487,1.5291161496828005,[1.58208917e-04 1.02379409e-04 6.08135424e-05 5.88674129e-05],[8.77548608e-05 5.93699786e-05 5.05485789e-05 5.82540964e-05],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],True
2021-11-13_02-56-35-166391,0,0,0,0,[1.73293176e-04 1.07877710e-04 6.35143274e-05 5.84161452e-05],0,[-10.28128079  -8.22502463  -6.16876847  -4.11251231],0,True
2021-11-13_02-56-52-756928,0,0,0,0,0,[8.17716790e-05 6.39191465e-05 5.64334212e-05 6.31195295e-05],0,[10.28128079  8.22502463  6.16876847  4.11251231],True
2021-11-13_02-56-52-758297,6.365587393567056e-07,4.0922801978764125e-07,4.299333498988534,1.5046284823251055,[1.73293176e-04 1.07877710e-04 6.35143274e-05 5.84161452e-05],[8.17716790e-05 6.39191465e-05 5.64334212e-05 6.31195295e-05],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],True
2021-11-13_03-00-16-976512,0,0,0,0,[1.78435069e-04 1.12510692e-04 6.16049635e-05 5.94586186e-05],0,[-10.28128079  -8.22502463  -6.16876847  -4.11251231],0,True
2021-11-13_03-00-51-646152,0,0,0,0,0,[8.00687361e-05 6.60018517e-05 5.45313890e-05 6.34345488e-05],0,[10.28128079  8.22502463  6.16876847  4.11251231],True
2021-11-13_03-00-51-647686,6.088660573251321e-07,4.051531226305497e-07,4.148850559678548,1.4118093059008658,[1.78435069e-04 1.12510692e-04 6.16049635e-05 5.94586186e-05],[8.00687361e-05 6.60018517e-05 5.45313890e-05 6.34345488e-05],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],True
2021-11-13_03-06-56-517148,0,0,0,0,[2.46257005e-04 1.90720923e-04 1.22647999e-04 6.50315260e-05],0,[-10.28128079  -8.22502463  -6.16876847  -4.11251231],0,True
2021-11-13_03-07-30-963234,0,0,0,0,0,[8.80996043e-05 9.57402694e-05 1.08642847e-04 1.63923677e-04],0,[10.28128079  8.22502463  6.16876847  4.11251231],True
2021-11-13_03-07-30-964506,9.270317797999763e-07,3.6245564093737107e-07,5.272643593610889,1.4308955904041816,[2.46257005e-04 1.90720923e-04 1.22647999e-04 6.50315260e-05],[8.80996043e-05 9.57402694e-05 1.08642847e-04 1.63923677e-04],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],True
2021-11-13_03-11-06-463529,0,0,0,0,[1.74722132e-04 1.14385422e-04 6.68167819e-05 5.98286183e-05],0,[-10.28128079  -8.22502463  -6.16876847  -4.11251231],0,True
2021-11-13_03-11-23-770741,0,0,0,0,0,[7.70232100e-05 6.77207697e-05 5.72479517e-05 6.29758189e-05],0,[10.28128079  8.22502463  6.16876847  4.11251231],True
2021-11-13_03-11-23-772104,6.250449634239792e-07,3.408618797922081e-07,4.180559483484879,1.165193169523738,[1.74722132e-04 1.14385422e-04 6.68167819e-05 5.98286183e-05],[7.70232100e-05 6.77207697e-05 5.72479517e-05 6.29758189e-05],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],[-10.28128079  -8.22502463  -6.16876847  -4.11251231],True
